Geography,Area (km2),Veg area (km2),pm25 mcg/m3,Veg density,city_B,city_NYC,city_S,cluster
Bayside - Little Neck,13.4,7.37,8.3,0.55,0.0,1.0,0.0,2
Bedford Stuyvesant - Crown Heights,14.5,3.625,8.9,0.25,0.0,1.0,0.0,2
Bensonhurst - Bay Ridge,18.0,5.04,8.1,0.28,0.0,1.0,0.0,2
Borough Park,6.5,1.56,8.4,0.24000000000000002,0.0,1.0,0.0,2
Canarsie - Flatlands,15.4,6.314,8.1,0.41,0.0,1.0,0.0,2
Central Harlem - Morningside Heights,8.2,2.378,9.4,0.29000000000000004,0.0,1.0,0.0,2
Chelsea - Clinton,4.5,0.495,11.4,0.11,0.0,1.0,0.0,2
Coney Island - Sheepshead Bay,24.0,5.52,7.7,0.22999999999999998,0.0,1.0,0.0,2
Crotona -Tremont,7.1,2.272,9.7,0.32,0.0,1.0,0.0,2
Downtown - Heights - Slope,11.0,2.42,9.9,0.22,0.0,1.0,0.0,2
East Flatbush - Flatbush,14.5,4.35,8.6,0.3,0.0,1.0,0.0,2
East Harlem,3.9,1.209,9.5,0.31000000000000005,0.0,1.0,0.0,2
East New York,7.4,2.146,8.7,0.29,0.0,1.0,0.0,2
Flushing - Clearview,11.1,4.218,8.4,0.38,0.0,1.0,0.0,2
Fordham - Bronx Pk,7.6,3.04,9.1,0.4,0.0,1.0,0.0,2
Fresh Meadows,6.0,2.76,8.2,0.45999999999999996,0.0,1.0,0.0,2
Gramercy Park - Murray Hill,4.5,0.585,11.7,0.13,0.0,1.0,0.0,2
Greenpoint,4.4,0.616,10.5,0.13999999999999999,0.0,1.0,0.0,2
Greenwich Village - SoHo,6.0,0.78,10.6,0.13,0.0,1.0,0.0,2
High Bridge - Morrisania,4.3,0.903,9.6,0.21000000000000002,0.0,1.0,0.0,2
Hunts Point - Mott Haven,5.3,0.954,9.6,0.18,0.0,1.0,0.0,2
Jamaica,5.8,2.03,8.2,0.35,0.0,1.0,0.0,2
Kingsbridge - Riverdale,7.4,4.662,9.2,0.63,0.0,1.0,0.0,2
Long Island City - Astoria,9.4,1.692,9.8,0.18,0.0,1.0,0.0,2
Lower Manhattan,5.3,1.272,10.5,0.24000000000000002,0.0,1.0,0.0,2
Northeast Bronx,10.6,3.816,9.1,0.36,0.0,1.0,0.0,2
